annee;secteur;densite CS;ecart type;interv conf 0.05
1998;1;1.263359725;0.893387127;0.661818284
1998;2;0.593273449;0.501465255;0.4012484
1998;3;0.20274431;0.093628663;0.074917157
1999;1;1.128286449;0.947064216;0.701582098
1999;2;1.152776759;1.09116252;0.873095814
1999;3;0.172386596;0.135788831;0.108651698
2000;1;1.28330518;0.949537892;0.703414589
2000;2;1.018954966;0.664933664;0.532047966
2000;3;0.182604005;0.088619277;0.070908887
2001;1;0.828167476;0.491740291;0.364279612
2001;2;0.867022632;0.787502992;0.630122051
2001;3;0.585559383;0.50485891;0.403963839
2002;1;0.500004039;0.455987282;0.337793898
2002;2;0.918383744;0.88047982;0.704517641
2002;3;0.347718526;0.226716137;0.181407358
2003;1;0.298644018;0.110910268;0.082161966
2003;2;0.415104068;0.296955133;0.237609228
2003;3;0.322955178;0.23250591;0.186040056
2005;1;0.238333333;0.231725412;0.171661433
2005;2;0.326666667;0.27471197;0.219811318
2005;3;0.203333333;0.085244746;0.068208749
2007;1;0.155;0.097928545;0.072545149
2007;2;0.301666667;0.219765026;0.175845413
2007;3;0.232;0.168136849;0.134535027
2009;1;0.246666667;0.176143881;0.130486815
2009;2;0.321666667;0.184001812;0.147229408
2009;3;0.131666667;0.125126603;0.100120295